Age,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,NumberOfTrips,MonthlyIncome,NumberOfChildrenVisiting,Gender,MaritalStatus,TypeofContact,Occupation,ProductPitched,Designation,CityTier,PreferredPropertyStar,Passport,PitchSatisfactionScore,OwnCar
41.0,25.0,2,3.0,3.0,18072.0,0.0,Male,Married,Self Enquiry,Salaried,Deluxe,Manager,1,5.0,0,1,0
37.0,17.0,2,3.0,2.0,27185.0,1.0,Male,Married,Company Invited,Salaried,Standard,Senior Manager,1,3.0,1,3,0
31.0,13.0,2,4.0,4.0,17329.0,1.0,Male,Married,Self Enquiry,Salaried,Basic,Executive,3,3.0,0,4,1
45.0,8.0,3,6.0,8.0,21040.0,2.0,Male,Single,Self Enquiry,Salaried,Deluxe,Manager,3,4.0,0,3,0
33.0,9.0,3,3.0,2.0,18348.0,2.0,Male,Single,Company Invited,Salaried,Basic,Executive,1,5.0,1,5,1
33.0,9.0,4,4.0,3.0,21048.0,1.0,Female,Divorced,Self Enquiry,Small Business,Basic,Executive,1,4.0,0,4,0
33.0,14.0,3,3.0,3.0,21388.0,2.0,Male,Unmarried,Self Enquiry,Salaried,Deluxe,Manager,1,3.0,1,3,0
30.0,18.0,2,3.0,1.0,21577.0,0.0,Female,Unmarried,Self Enquiry,Large Business,Deluxe,Manager,3,3.0,0,2,1
42.0,25.0,2,2.0,7.0,17759.0,1.0,Male,Married,Company Invited,Small Business,Basic,Executive,1,3.0,1,3,1
46.0,8.0,2,3.0,7.0,32861.0,0.0,Male,Married,Self Enquiry,Salaried,Super Deluxe,AVP,1,3.0,0,5,1
51.0,16.0,4,4.0,6.0,21058.0,3.0,Male,Married,Self Enquiry,Salaried,Basic,Executive,1,3.0,0,5,1
30.0,8.0,2,5.0,3.0,21091.0,0.0,Female,Single,Self Enquiry,Salaried,Deluxe,Manager,1,3.0,0,1,1
37.0,25.0,3,3.0,6.0,22366.0,1.0,Male,Divorced,Company Invited,Salaried,Basic,Executive,1,3.0,0,5,0
28.0,6.0,2,3.0,2.0,17706.0,1.0,Male,Married,Company Invited,Salaried,Basic,Executive,2,3.0,0,4,0
42.0,12.0,2,3.0,1.0,28348.0,0.0,Male,Married,Self Enquiry,Small Business,Standard,Senior Manager,1,5.0,0,3,1
44.0,10.0,2,3.0,1.0,20933.0,0.0,Male,Single,Self Enquiry,Small Business,Deluxe,Manager,1,4.0,0,2,1
39.0,9.0,3,5.0,3.0,21118.0,1.0,Female,Single,Company Invited,Small Business,Basic,Executive,1,4.0,0,1,1
42.0,23.0,2,2.0,4.0,21545.0,0.0,Female,Unmarried,Self Enquiry,Salaried,Deluxe,Manager,1,5.0,1,2,0
39.0,28.0,2,3.0,2.0,25880.0,1.0,Fe Male,Unmarried,Company Invited,Small Business,Standard,Senior Manager,1,5.0,1,5,1
28.0,6.0,2,5.0,1.0,21674.0,0.0,Female,Divorced,Company Invited,Salaried,Deluxe,Manager,1,3.0,0,3,1
43.0,20.0,3,3.0,7.0,32159.0,1.0,Male,Married,Self Enquiry,Salaried,Super Deluxe,AVP,1,5.0,0,5,1
45.0,22.0,4,4.0,3.0,26656.0,2.0,Female,Divorced,Self Enquiry,Small Business,Standard,Senior Manager,1,3.0,0,3,0
53.0,13.0,4,4.0,5.0,24255.0,2.0,Male,Married,Self Enquiry,Large Business,Deluxe,Manager,1,5.0,1,4,1
42.0,16.0,4,4.0,4.0,20916.0,1.0,Male,Married,Self Enquiry,Salaried,Basic,Executive,1,5.0,0,1,0
36.0,33.0,3,3.0,7.0,20237.0,0.0,Male,Divorced,Self Enquiry,Small Business,Deluxe,Manager,1,3.0,0,3,1
22.0,7.0,4,5.0,3.0,20748.0,3.0,Female,Single,Self Enquiry,Large Business,Basic,Executive,1,4.0,1,5,0
37.0,12.0,4,4.0,2.0,24592.0,3.0,Male,Unmarried,Self Enquiry,Salaried,Deluxe,Manager,1,4.0,0,2,0
30.0,20.0,3,4.0,7.0,24443.0,2.0,Fe Male,Unmarried,Company Invited,Large Business,Deluxe,Manager,3,4.0,0,3,0
36.0,18.0,4,5.0,4.0,28562.0,3.0,Male,Married,Company Invited,Small Business,Standard,Senior Manager,1,5.0,1,5,1
40.0,10.0,2,3.0,2.0,34033.0,1.0,Female,Divorced,Self Enquiry,Small Business,King,VP,1,3.0,0,5,0
51.0,14.0,2,5.0,3.0,25650.0,1.0,Male,Unmarried,Company Invited,Salaried,Standard,Senior Manager,1,3.0,0,2,0
39.0,7.0,3,5.0,6.0,21536.0,2.0,Male,Unmarried,Self Enquiry,Salaried,Basic,Executive,3,5.0,0,3,0
43.0,18.0,2,4.0,2.0,29336.0,1.0,Male,Married,Self Enquiry,Salaried,Super Deluxe,AVP,1,4.0,0,3,0
35.0,10.0,3,3.0,2.0,16951.0,0.0,Male,Married,Self Enquiry,Salaried,Basic,Executive,1,3.0,0,4,0
40.0,9.0,4,4.0,2.0,29616.0,2.0,Female,Single,Company Invited,Large Business,Standard,Senior Manager,1,3.0,0,2,1
27.0,17.0,3,4.0,3.0,23362.0,1.0,Male,Unmarried,Self Enquiry,Small Business,Deluxe,Manager,3,3.0,0,1,0
26.0,8.0,2,3.0,7.0,17042.0,0.0,Male,Divorced,Company Invited,Salaried,Basic,Executive,1,5.0,1,5,1
43.0,32.0,3,3.0,2.0,31959.0,0.0,Male,Divorced,Company Invited,Salaried,Super Deluxe,AVP,3,3.0,1,2,0
32.0,18.0,4,4.0,3.0,25511.0,3.0,Male,Divorced,Self Enquiry,Small Business,Deluxe,Manager,1,5.0,1,2,0
35.0,12.0,3,5.0,4.0,30309.0,1.0,Female,Single,Self Enquiry,Small Business,Standard,Senior Manager,1,5.0,0,2,0
34.0,11.0,3,5.0,8.0,21300.0,2.0,Female,Married,Self Enquiry,Small Business,Basic,Executive,1,4.0,0,4,0
31.0,14.0,2,4.0,2.0,16261.0,1.0,Female,Single,Self Enquiry,Salaried,Basic,Executive,1,4.0,0,4,0
35.0,16.0,4,4.0,3.0,24392.0,1.0,Female,Married,Self Enquiry,Salaried,Deluxe,Manager,3,3.0,0,1,0
42.0,16.0,3,6.0,2.0,24829.0,2.0,Male,Married,Company Invited,Salaried,Super Deluxe,AVP,3,3.0,0,5,1
34.0,14.0,2,3.0,4.0,20121.0,1.0,Female,Married,Self Enquiry,Salaried,Deluxe,Manager,1,5.0,0,5,1
34.0,9.0,3,4.0,2.0,21385.0,1.0,Female,Divorced,Self Enquiry,Salaried,Basic,Executive,1,5.0,0,3,1
34.0,13.0,2,3.0,1.0,26994.0,0.0,Fe Male,Unmarried,Self Enquiry,Salaried,Standard,Senior Manager,1,4.0,0,3,1
39.0,36.0,3,4.0,5.0,24939.0,2.0,Male,Divorced,Self Enquiry,Large Business,Deluxe,Manager,1,3.0,0,2,0
29.0,12.0,3,4.0,3.0,22119.0,1.0,Male,Unmarried,Self Enquiry,Large Business,Basic,Executive,1,3.0,1,1,0
35.0,8.0,2,3.0,3.0,20762.0,1.0,Male,Married,Company Invited,Small Business,Deluxe,Manager,1,3.0,0,3,0
26.0,10.0,2,4.0,2.0,20828.0,1.0,Male,Single,Self Enquiry,Small Business,Deluxe,Manager,3,3.0,1,2,1
37.0,10.0,3,4.0,7.0,21513.0,1.0,Female,Married,Self Enquiry,Salaried,Basic,Executive,1,3.0,0,2,1
35.0,16.0,4,4.0,6.0,24024.0,2.0,Male,Married,Company Invited,Salaried,Deluxe,Manager,1,5.0,0,3,0
40.0,9.0,3,4.0,2.0,30847.0,1.0,Male,Married,Company Invited,Salaried,Super Deluxe,AVP,1,3.0,0,3,1
33.0,11.0,2,3.0,2.0,17851.0,0.0,Female,Single,Self Enquiry,Small Business,Basic,Executive,3,3.0,1,2,1
38.0,15.0,3,4.0,1.0,17899.0,0.0,Male,Divorced,Self Enquiry,Small Business,Basic,Executive,3,4.0,0,4,0
33.0,20.0,4,5.0,3.0,21421.0,1.0,Female,Married,Company Invited,Salaried,Basic,Executive,1,4.0,0,5,1
29.0,6.0,2,4.0,2.0,17319.0,0.0,Female,Divorced,Self Enquiry,Salaried,Basic,Executive,1,5.0,1,2,0
34.0,14.0,3,4.0,2.0,30369.0,1.0,Male,Married,Self Enquiry,Small Business,Standard,Senior Manager,1,3.0,0,4,1
36.0,24.0,4,4.0,5.0,27644.0,2.0,Male,Divorced,Self Enquiry,Salaried,Deluxe,Manager,3,5.0,1,3,1
23.0,8.0,3,3.0,4.0,17322.0,1.0,Male,Married,Self Enquiry,Large Business,Basic,Executive,3,5.0,0,3,1
61.0,14.0,3,4.0,7.0,38244.0,1.0,Female,Divorced,Self Enquiry,Salaried,King,VP,1,5.0,0,5,0
55.0,8.0,2,4.0,1.0,28577.0,0.0,Fe Male,Single,Company Invited,Salaried,Basic,Executive,3,3.0,0,5,0
61.0,35.0,4,5.0,6.0,28944.0,1.0,Female,Divorced,Company Invited,Small Business,Standard,Senior Manager,3,5.0,0,2,1
28.0,7.0,4,4.0,2.0,25027.0,2.0,Male,Married,Company Invited,Small Business,Deluxe,Manager,3,4.0,1,1,0
36.0,17.0,3,4.0,2.0,21499.0,1.0,Male,Unmarried,Company Invited,Salaried,Deluxe,Manager,1,4.0,0,4,1
41.0,35.0,3,6.0,5.0,29610.0,1.0,Male,Married,Company Invited,Salaried,Standard,Senior Manager,3,5.0,0,5,1
33.0,9.0,4,3.0,2.0,23733.0,3.0,Fe Male,Unmarried,Self Enquiry,Small Business,Deluxe,Manager,1,3.0,0,3,1
40.0,8.0,2,4.0,3.0,17809.0,1.0,Male,Single,Self Enquiry,Salaried,Basic,Executive,1,3.0,0,5,0
31.0,10.0,3,4.0,6.0,20775.0,2.0,Male,Divorced,Company Invited,Salaried,Basic,Executive,1,3.0,0,3,0
39.0,7.0,4,4.0,3.0,32260.0,2.0,Female,Married,Self Enquiry,Large Business,Standard,Senior Manager,1,5.0,0,4,1
28.0,30.0,3,4.0,2.0,23722.0,1.0,Male,Unmarried,Company Invited,Large Business,Standard,Senior Manager,1,5.0,0,1,1
30.0,9.0,4,4.0,2.0,21858.0,3.0,Female,Divorced,Company Invited,Salaried,Basic,Executive,1,4.0,0,5,0
52.0,31.0,2,4.0,4.0,28826.0,1.0,Female,Divorced,Company Invited,Small Business,Super Deluxe,AVP,1,3.0,0,5,0
22.0,19.0,3,3.0,3.0,21394.0,2.0,Female,Unmarried,Self Enquiry,Salaried,Basic,Executive,3,4.0,0,5,0
27.0,14.0,2,3.0,2.0,21214.0,1.0,Female,Married,Self Enquiry,Small Business,Deluxe,Manager,3,4.0,0,1,0
45.0,17.0,4,4.0,3.0,21614.0,1.0,Male,Unmarried,Self Enquiry,Salaried,Basic,Executive,1,3.0,1,3,1
36.0,16.0,2,4.0,1.0,22094.0,0.0,Male,Married,Self Enquiry,Small Business,Standard,Senior Manager,3,5.0,0,5,0
43.0,13.0,2,3.0,1.0,24985.0,0.0,Female,Divorced,Self Enquiry,Salaried,Standard,Senior Manager,1,5.0,0,5,1
36.0,8.0,2,3.0,1.0,20410.0,0.0,Female,Single,Self Enquiry,Salaried,Deluxe,Manager,1,4.0,1,3,1
55.0,20.0,3,2.0,1.0,33722.0,2.0,Male,Single,Self Enquiry,Small Business,King,VP,1,4.0,0,2,0
56.0,30.0,3,3.0,2.0,17587.0,0.0,Male,Single,Self Enquiry,Salaried,Basic,Executive,1,3.0,0,3,0
42.0,6.0,2,3.0,2.0,19907.0,0.0,Male,Divorced,Self Enquiry,Salaried,Deluxe,Manager,3,3.0,0,3,1
34.0,14.0,3,3.0,6.0,21500.0,2.0,Female,Married,Self Enquiry,Salaried,Deluxe,Manager,3,5.0,0,1,1
51.0,15.0,3,3.0,4.0,17075.0,0.0,Male,Married,Self Enquiry,Salaried,Basic,Executive,1,3.0,0,3,1
40.0,11.0,3,5.0,6.0,24580.0,1.0,Female,Divorced,Self Enquiry,Salaried,Deluxe,Manager,3,3.0,0,5,1
53.0,26.0,3,4.0,2.0,22936.0,1.0,Male,Divorced,Company Invited,Small Business,Basic,Executive,1,3.0,0,3,1
50.0,27.0,4,4.0,3.0,25245.0,3.0,Female,Divorced,Self Enquiry,Small Business,Deluxe,Manager,1,5.0,0,2,1
28.0,6.0,3,5.0,1.0,17216.0,0.0,Female,Single,Self Enquiry,Salaried,Basic,Executive,1,4.0,1,2,1
38.0,23.0,4,5.0,6.0,25012.0,3.0,Male,Married,Self Enquiry,Small Business,Deluxe,Manager,3,3.0,0,5,1
49.0,26.0,3,3.0,2.0,21567.0,0.0,Female,Married,Self Enquiry,Small Business,Deluxe,Manager,1,5.0,0,1,1
30.0,24.0,3,5.0,3.0,26666.0,1.0,Male,Unmarried,Self Enquiry,Salaried,Standard,Senior Manager,2,5.0,0,3,0
32.0,11.0,3,2.0,1.0,18298.0,0.0,Male,Married,Self Enquiry,Salaried,Basic,Executive,1,4.0,1,2,1
31.0,7.0,3,6.0,5.0,22511.0,1.0,Male,Divorced,Self Enquiry,Salaried,Basic,Executive,1,3.0,0,4,1
36.0,28.0,3,4.0,3.0,22692.0,1.0,Female,Married,Self Enquiry,Salaried,Deluxe,Manager,1,3.0,1,3,0
18.0,11.0,3,3.0,2.0,16878.0,2.0,Male,Single,Company Invited,Small Business,Basic,Executive,3,4.0,1,4,1
42.0,8.0,2,4.0,1.0,17593.0,1.0,Female,Married,Self Enquiry,Small Business,Basic,Executive,1,5.0,1,4,1
25.0,17.0,4,4.0,3.0,22938.0,1.0,Female,Married,Self Enquiry,Small Business,Deluxe,Manager,3,3.0,1,1,0
38.0,8.0,3,5.0,3.0,20405.0,0.0,Female,Married,Self Enquiry,Small Business,Deluxe,Manager,3,3.0,1,3,0
29.0,22.0,3,4.0,3.0,20885.0,2.0,Male,Married,Self Enquiry,Salaried,Basic,Executive,1,3.0,0,4,1
29.0,24.0,4,4.0,3.0,23236.0,2.0,Male,Married,Self Enquiry,Small Business,Deluxe,Manager,1,5.0,0,1,0
29.0,27.0,2,1.0,2.0,24980.0,1.0,Female,Married,Self Enquiry,Salaried,Standard,Senior Manager,1,5.0,0,5,1
39.0,16.0,3,3.0,2.0,32068.0,2.0,Male,Married,Self Enquiry,Small Business,Super Deluxe,AVP,1,5.0,1,3,1
47.0,11.0,2,3.0,5.0,33300.0,0.0,Male,Married,Self Enquiry,Salaried,King,VP,1,3.0,0,1,1
61.0,23.0,3,4.0,2.0,24083.0,1.0,Male,Unmarried,Self Enquiry,Small Business,Deluxe,Manager,3,5.0,0,4,1
33.0,9.0,4,4.0,3.0,21117.0,2.0,Male,Single,Self Enquiry,Large Business,Basic,Executive,1,5.0,0,1,1
54.0,25.0,3,3.0,1.0,20485.0,2.0,Female,Married,Self Enquiry,Small Business,Deluxe,Manager,1,5.0,1,3,0
42.0,10.0,2,3.0,1.0,20155.0,0.0,Male,Single,Self Enquiry,Small Business,Deluxe,Manager,3,5.0,0,5,1
36.0,12.0,4,4.0,2.0,26773.0,1.0,Male,Unmarried,Self Enquiry,Large Business,Standard,Senior Manager,1,4.0,0,3,0
34.0,14.0,3,3.0,6.0,21500.0,0.0,Female,Divorced,Self Enquiry,Salaried,Deluxe,Manager,3,5.0,0,2,1
27.0,32.0,3,6.0,3.0,20971.0,2.0,Male,Single,Self Enquiry,Salaried,Basic,Executive,1,3.0,0,2,1
46.0,8.0,2,3.0,4.0,33947.0,1.0,Female,Single,Self Enquiry,Small Business,King,VP,3,5.0,0,1,1
25.0,7.0,3,5.0,3.0,23295.0,2.0,Male,Unmarried,Self Enquiry,Salaried,Deluxe,Manager,1,3.0,0,3,1
24.0,19.0,4,4.0,3.0,21325.0,1.0,Male,Unmarried,Self Enquiry,Salaried,Basic,Executive,1,3.0,0,5,1
46.0,16.0,3,3.0,6.0,22314.0,2.0,Female,Married,Self Enquiry,Salaried,Standard,Senior Manager,3,4.0,0,1,0
44.0,15.0,3,4.0,4.0,34190.0,2.0,Male,Married,Self Enquiry,Salaried,Basic,Executive,3,5.0,0,1,1
31.0,15.0,2,4.0,1.0,17321.0,0.0,Male,Single,Company Invited,Small Business,Basic,Executive,1,5.0,1,3,1
41.0,10.0,2,3.0,2.0,24355.0,0.0,Male,Unmarried,Company Invited,Small Business,Deluxe,Manager,3,4.0,0,3,1
27.0,24.0,3,4.0,2.0,21419.0,2.0,Female,Married,Company Invited,Salaried,Basic,Executive,2,3.0,1,5,0
44.0,6.0,3,3.0,6.0,20454.0,1.0,Female,Married,Self Enquiry,Small Business,Deluxe,Manager,3,5.0,1,1,1
33.0,20.0,4,4.0,4.0,23081.0,1.0,Male,Married,Self Enquiry,Salaried,Deluxe,Manager,3,3.0,0,2,0
37.0,6.0,2,3.0,5.0,22491.0,1.0,Female,Unmarried,Self Enquiry,Large Business,Standard,Senior Manager,1,3.0,0,5,1
23.0,13.0,2,3.0,2.0,17275.0,0.0,Male,Married,Self Enquiry,Salaried,Basic,Executive,3,3.0,1,1,1
40.0,25.0,3,4.0,2.0,23212.0,1.0,Male,Unmarried,Self Enquiry,Salaried,Deluxe,Manager,1,3.0,0,3,0
25.0,16.0,3,4.0,4.0,21850.0,2.0,Male,Unmarried,Company Invited,Small Business,Basic,Executive,1,5.0,1,3,0
37.0,20.0,3,3.0,2.0,18034.0,0.0,Female,Married,Self Enquiry,Salaried,Basic,Executive,1,5.0,0,4,1
57.0,30.0,2,2.0,4.0,24439.0,1.0,Male,Married,Self Enquiry,Salaried,Standard,Senior Manager,1,3.0,1,4,1
34.0,15.0,2,4.0,2.0,23621.0,0.0,Fe Male,Unmarried,Self Enquiry,Small Business,Standard,Senior Manager,1,4.0,0,1,1
19.0,31.0,2,1.0,2.0,17994.0,0.0,Female,Single,Self Enquiry,Salaried,Basic,Executive,1,3.0,1,5,1
43.0,8.0,3,3.0,2.0,20675.0,2.0,Male,Married,Company Invited,Salaried,Deluxe,Manager,3,3.0,0,3,1
25.0,20.0,4,4.0,3.0,20711.0,1.0,Female,Divorced,Company Invited,Salaried,Basic,Executive,3,4.0,0,1,0
26.0,9.0,4,2.0,3.0,23884.0,2.0,Male,Married,Company Invited,Salaried,Deluxe,Manager,1,3.0,0,1,0
28.0,9.0,3,3.0,1.0,22655.0,0.0,Female,Married,Self Enquiry,Small Business,Standard,Senior Manager,1,4.0,0,4,0
25.0,30.0,3,3.0,3.0,21403.0,2.0,Male,Divorced,Self Enquiry,Small Business,Basic,Executive,1,3.0,1,4,0
52.0,7.0,4,4.0,3.0,21401.0,1.0,Male,Married,Self Enquiry,Salaried,Basic,Executive,1,3.0,0,4,1
35.0,15.0,3,2.0,4.0,23082.0,2.0,Male,Married,Self Enquiry,Small Business,Deluxe,Manager,1,3.0,0,3,0
22.0,25.0,4,4.0,3.0,21371.0,2.0,Female,Unmarried,Self Enquiry,Salaried,Basic,Executive,1,3.0,0,3,1
40.0,13.0,3,4.0,6.0,27054.0,2.0,Fe Male,Unmarried,Self Enquiry,Salaried,Standard,Senior Manager,1,4.0,0,3,0
43.0,9.0,3,4.0,7.0,21193.0,2.0,Male,Single,Company Invited,Small Business,Basic,Executive,1,3.0,1,2,0
30.0,22.0,4,6.0,2.0,20846.0,1.0,Female,Divorced,Self Enquiry,Salaried,Basic,Executive,1,3.0,1,5,1
47.0,8.0,2,3.0,4.0,32169.0,0.0,Female,Divorced,Self Enquiry,Small Business,Super Deluxe,AVP,1,3.0,0,5,1
50.0,18.0,3,4.0,3.0,26332.0,2.0,Female,Divorced,Self Enquiry,Small Business,Standard,Senior Manager,3,3.0,0,4,0
32.0,9.0,3,4.0,3.0,28530.0,1.0,Female,Married,Company Invited,Salaried,Standard,Senior Manager,3,3.0,1,1,1
34.0,15.0,3,4.0,2.0,25782.0,2.0,Male,Married,Self Enquiry,Small Business,Deluxe,Manager,3,3.0,0,2,1
41.0,23.0,3,5.0,8.0,23772.0,2.0,Male,Unmarried,Company Invited,Small Business,Deluxe,Manager,1,3.0,0,5,1
30.0,15.0,2,3.0,2.0,16081.0,0.0,Male,Single,Self Enquiry,Small Business,Basic,Executive,3,3.0,0,5,0
51.0,19.0,3,4.0,5.0,35558.0,2.0,Male,Single,Company Invited,Salaried,Deluxe,Manager,3,3.0,1,3,1
28.0,19.0,2,3.0,4.0,24854.0,1.0,Fe Male,Unmarried,Self Enquiry,Small Business,Deluxe,Manager,3,3.0,1,5,1
43.0,15.0,3,4.0,2.0,25503.0,1.0,Male,Married,Self Enquiry,Small Business,Deluxe,Manager,3,4.0,0,3,1
30.0,35.0,4,4.0,6.0,21192.0,1.0,Female,Married,Self Enquiry,Salaried,Basic,Executive,1,3.0,0,5,1
33.0,11.0,4,5.0,3.0,24840.0,1.0,Female,Divorced,Self Enquiry,Salaried,Deluxe,Manager,1,3.0,0,4,1
54.0,14.0,4,5.0,2.0,29612.0,2.0,Female,Married,Self Enquiry,Small Business,Standard,Senior Manager,3,3.0,1,1,0
32.0,11.0,2,3.0,2.0,21524.0,1.0,Male,Married,Company Invited,Salaried,Deluxe,Manager,3,4.0,0,3,1
39.0,17.0,4,4.0,3.0,24021.0,3.0,Female,Married,Self Enquiry,Salaried,Deluxe,Manager,3,3.0,0,4,0
37.0,17.0,3,5.0,2.0,25772.0,1.0,Male,Married,Self Enquiry,Small Business,Standard,Senior Manager,3,5.0,0,5,0
24.0,33.0,3,4.0,3.0,21582.0,2.0,Male,Married,Self Enquiry,Salaried,Basic,Executive,1,3.0,0,2,1
36.0,18.0,3,4.0,3.0,23646.0,1.0,Male,Married,Company Invited,Small Business,Deluxe,Manager,3,3.0,0,5,0
36.0,32.0,3,3.0,7.0,20347.0,0.0,Male,Married,Self Enquiry,Salaried,Deluxe,Manager,1,3.0,0,3,1
